item_id,item_name,category,description,unit
1.0,Oil,Oils,Cooking oil for frying and cooking,ml
2.0,Coconut Chutni(Cooked),Prepared Foods,Ready-made coconut chutney,grams
3.0,Tomato Chutni(Cooked),Prepared Foods,Ready-made tomato chutney,grams
4.0,Sambhar,Prepared Foods,Traditional South Indian lentil curry,grams
5.0,Dosa batter,Prepared Foods,Fermented rice and lentil batter for dosas,grams
6.0,Chicken gravy,Prepared Foods,Cooked chicken curry/gravy,grams
7.0,Fish Kolambu(Parai Fish),Prepared Foods,Fish curry made with parai fish,grams
8.0,Ghee,Oils,Clarified butter for cooking,ml
9.0,turmeric powder,Spices,Ground turmeric powder,grams
10.0,Urad Dal(ulunda parupu),Legumes,Black gram lentils,grams
11.0,Chicken Masala,Spices,Chicken spice blend,grams
12.0,Red chilli Powder,Spices,Ground red chili powder,grams
13.0,Garam Masala,Spices,Mixed spice powder,grams
14.0,kadalai parupu(bengal gram),Legumes,Chana dal/Bengal gram,grams
15.0,garlic ginger paste,Condiments,Ready-made garlic ginger paste,grams
16.0,tomato,Vegetables,Fresh tomatoes,grams
17.0,onion,Vegetables,Fresh onions,grams
18.0,Potatoes,Vegetables,Fresh potatoes,grams
19.0,Coffee powder,Beverages,Ground coffee powder,grams
20.0,Sugar,Sweeteners,White sugar,grams
21.0,Eggs,Eggs,Fresh chicken eggs,units
22.0,Boost,Beverages,Health drink powder,grams
23.0,Milk,Dairy,Fresh milk,ml
24.0,Carrot,Vegetables,Fresh carrots,grams
25.0,Coriander(kothamali),Aromatics,Fresh coriander leaves,grams
26.0,Curry Leaves(Karuvepulai),Aromatics,Fresh curry leaves,grams
27.0,Mustard Urad Dal(Kadugu Uluntha Parupu),Legumes,Mustard and urad dal mix,grams
28.0,garlic,Aromatics,Fresh garlic,grams
29.0,green chilli,Vegetables,Fresh green chilies,grams
30.0,Salt,Condiments,Table salt,grams
31.0,Wheat,Grains,Wheat flour,grams
32.0,clove(lavagam),Spices,Whole cloves,grams
33.0,Cardamon(Yelakai),Spices,Green cardamom,grams
34.0,cinamon(pattai),Spices,Cinnamon sticks,grams
35.0,corainder powder(mali powder),Spices,Ground coriander powder,grams
36.0,Fennel Seed(Sombu)-saunf,Spices,Fennel seeds,grams
37.0,cashew nut,Nuts & Seeds,Cashew nuts,grams
38.0,Green Beans,Vegetables,Fresh green beans,grams
39.0,Coconut,Nuts & Seeds,Fresh coconut,grams
40.0,beans,Legumes,Various beans,grams
41.0,white channa,Legumes,White chickpeas,grams
42.0,Chicken,Poultry,Fresh chicken,grams
43.0,Star Anise(Annachipu),Spices,Star anise,grams
44.0,bring leaf,Spices,Bay leaves,grams
45.0,kolambu molaga thool,Spices,Sambar chili powder,grams
46.0,Fried Gram Split(Pottu Kadalai),Legumes,Roasted chana dal,grams
47.0,ginger,Aromatics,Fresh ginger,grams
48.0,Bheemas Rice,Grains,Premium rice variety,grams
49.0,cooked rice,Grains,Pre-cooked rice,grams
50.0,Curd,Dairy,Fresh yogurt,grams
51.0,Pepper,Spices,Black pepper,grams
52.0,Pepper Powder(Milagu Thool),Spices,Black pepper powder,grams
53.0,Pulli,Condiments,Tamarind,grams
54.0,Fish(Parai Fish),Seafood,Parai fish,grams
55.0,Tea powder,Beverages,Tea leaves,grams
56.0,Green tea leaves,Beverages,Green tea leaves,grams
57.0,Horlicks,Beverages,Malt drink powder,grams
58.0,Lemons,Fruits,Fresh lemons,units
59.0,toovaram parupu(toor dal),Legumes,Toor dal,grams
60.0,Peanuts,Nuts & Seeds,Raw peanuts,grams
61.0,Cumin Powder(seraga Thool),Spices,Cumin powder,grams
62.0,Idli podi,Spices,Idli spice powder,grams
63.0,bread,Bread & Bakery,Fresh bread,grams
64.0,perugayam(asafoetida),Spices,Auto-added from inventory,grams
65.0,sambhar podi,Spices,Auto-added from inventory,grams
66.0,Pasiparupu(algae lenthils),Spices,Auto-added from inventory,grams
67.0,Bringal,Vegetables,Auto-added from inventory,grams
68.0,vellam(jaggery),Spices,Auto-added from inventory,grams
69.0,Dry Chilli,Spices,Auto-added from inventory,grams
